price,size,exchange
76262.89,0.14146,Binance
76262.73,0.00042,Binance
76262.72,9e-05,Binance
76262.62,0.00013,Binance
76262.56,0.09098,Binance
76262.55,0.03478,Binance
76262.52,0.1224,Binance
76262.51,0.00166,Binance
76262.5,0.00011,Binance
76262.32,0.27673,Binance
76262.13,0.00082,Binance
76262.04,0.001,Binance
76262.0,0.03406,Binance
76261.99,0.00206,Binance
76261.9,0.14118,Binance
76261.86,0.45819,Binance
76261.69,0.00032,Binance
76261.53,0.00027,Binance
76261.14,7e-05,Binance
76260.96,7e-05,Binance
76260.86,0.00027,Binance
76260.8,0.00036,Binance
76260.78,0.00184,Binance
76260.53,0.00093,Binance
76260.47,0.00201,Binance
76260.25,0.00012,Binance
76260.08,0.0001,Binance
76260.0,0.04977,Binance
76259.9,0.10488,Binance
76259.85,0.00791,Binance
76259.45,0.00123,Binance
76259.26,0.00056,Binance
76259.22,0.0004,Binance
76259.0,0.001,Binance
76258.86,0.0916,Binance
76258.8,0.014,Binance
76258.65,0.19126,Binance
76258.55,0.00019,Binance
76258.33,1.33071,Binance
76258.18,0.0007,Binance
76258.12,0.0004,Binance
76258.06,7e-05,Binance
76258.0,0.0262,Binance
76257.85,0.585,Binance
76257.65,0.0003,Binance
76257.64,0.00011,Binance
76257.59,8e-05,Binance
76257.53,0.00026,Binance
76257.44,0.00579,Binance
76257.42,0.03789,Binance
76257.39,0.11294,Binance
76257.33,7e-05,Binance
76257.14,0.0001,Binance
76257.07,0.00013,Binance
76257.05,0.00016,Binance
76257.02,0.00128,Binance
76256.86,0.12423,Binance
76256.53,0.00016,Binance
76256.42,0.00166,Binance
76256.14,0.03302,Binance
76256.0,0.03753,Binance
76255.98,8e-05,Binance
76255.88,0.00011,Binance
76255.85,0.11511,Binance
76255.73,0.00018,Binance
76255.7,2.2065,Binance
76255.62,1.35789,Binance
76255.44,0.00093,Binance
76255.33,0.00011,Binance
76255.31,0.00041,Binance
76255.22,8e-05,Binance
76255.2,0.00032,Binance
76255.04,0.00066,Binance
76255.0,0.0006,Binance
76254.88,8e-05,Binance
76254.84,0.0003,Binance
76254.82,0.00131,Binance
76254.54,0.00045,Binance
76254.39,0.00035,Binance
76254.31,0.18686,Binance
76254.3,0.34425,Binance
76254.0,0.0262,Binance
76253.94,0.00095,Binance
76253.53,0.0001,Binance
76253.52,7e-05,Binance
76253.43,0.0004,Binance
76253.34,7e-05,Binance
76253.21,0.00049,Binance
76253.06,0.0105,Binance
76252.76,9e-05,Binance
76252.63,0.00024,Binance
76252.44,0.0001,Binance
76252.0,0.0262,Binance
76251.97,8e-05,Binance
76251.9,0.00013,Binance
76251.85,7e-05,Binance
76251.8,0.00587,Binance
76251.58,0.00016,Binance
76251.3,0.00016,Binance
76251.18,0.00012,Binance
76251.13,0.0916,Binance
76251.12,0.11501,Binance
76251.0,0.86,Binance
76250.92,0.014,Binance
76250.74,0.00012,Binance
76250.62,0.00014,Binance
76250.59,0.00026,Binance
76250.39,0.39302,Binance
76250.38,1.44567,Binance
76250.35,0.00055,Binance
76250.25,0.00014,Binance
76250.23,0.02642,Binance
76250.2,0.585,Binance
76250.01,0.00012,Binance
76250.0,3.36299,Binance
76249.99,0.0007,Binance
76249.98,0.0001,Binance
76249.75,8e-05,Binance
76249.74,0.00014,Binance
76249.71,7e-05,Binance
76249.5,0.00111,Binance
76249.32,0.00024,Binance
76249.28,0.03487,Binance
76249.14,9e-05,Binance
76249.11,0.0354,Binance
76249.04,0.03201,Binance
76248.51,0.0004,Binance
76248.47,0.00012,Binance
76248.42,7e-05,Binance
76248.34,0.00016,Binance
76248.28,0.00011,Binance
76248.23,0.00983,Binance
76248.03,0.0001,Binance
76248.0,0.0262,Binance
76247.81,0.014,Binance
76247.64,0.92969,Binance
76247.43,0.0001,Binance
76247.38,0.00033,Binance
76247.36,0.00014,Binance
76247.33,0.00186,Binance
76247.21,8e-05,Binance
76247.18,0.00129,Binance
76247.09,0.00021,Binance
76247.04,0.00013,Binance
76247.02,0.0001,Binance
76246.95,0.22579,Binance
76246.73,0.00019,Binance
76246.66,0.11453,Binance
76246.59,0.0001,Binance
76246.57,9e-05,Binance
76246.49,0.00019,Binance
76246.29,0.03877,Binance
76246.15,8e-05,Binance
76246.14,0.0001,Binance
76246.04,0.0001,Binance
76246.0,0.1003,Binance
76245.93,0.00037,Binance
76245.9,0.00011,Binance
76245.89,7e-05,Binance
76245.87,0.05629,Binance
76245.72,0.06105,Binance
76245.26,0.07428,Binance
76245.21,0.00117,Binance
76245.0,0.00374,Binance
76244.9,0.00039,Binance
76244.84,0.00042,Binance
76244.8,0.0001,Binance
76244.78,0.00177,Binance
76244.77,0.00022,Binance
76244.6,0.00022,Binance
76244.49,0.00246,Binance
76244.48,0.15965,Binance
76244.32,0.00012,Binance
76244.26,9e-05,Binance
76244.24,0.07498,Binance
76244.21,0.00019,Binance
76244.19,0.0002,Binance
76244.02,0.0505,Binance
76244.0,0.0262,Binance
76243.94,0.09819,Binance
76243.91,0.00037,Binance
76243.62,0.00023,Binance
76243.61,0.00069,Binance
76243.59,0.03189,Binance
76243.54,0.0001,Binance
76243.51,0.0001,Binance
76243.37,0.0916,Binance
76243.35,0.00016,Binance
76242.94,0.00047,Binance
76242.86,0.00151,Binance
76242.85,0.07398,Binance
76242.56,0.32097,Binance
76242.55,0.585,Binance
76242.52,0.00022,Binance
76242.42,0.10218,Binance
76242.4,0.0001,Binance
76242.38,0.00016,Binance
76242.3,0.00049,Binance
76242.24,0.00021,Binance
76242.18,9e-05,Binance
76242.12,0.03257,Binance
76242.1,0.07398,Binance
76242.08,7e-05,Binance
76242.06,0.00065,Binance
76242.0,0.0262,Binance
76241.95,8e-05,Binance
76241.7,0.00136,Binance
76241.36,0.07398,Binance
