price,size,exchange
76458.78,0.15717,Binance
76458.8,0.03536,Binance
76458.82,0.00012,Binance
76458.84,0.03354,Binance
76458.86,0.03667,Binance
76459.0,2.27175,Binance
76459.08,7e-05,Binance
76459.12,0.06812,Binance
76459.18,0.06498,Binance
76459.28,0.08998,Binance
76459.43,0.03667,Binance
76459.67,0.03805,Binance
76459.91,0.03536,Binance
76460.0,0.1528,Binance
76460.01,0.06698,Binance
76460.15,0.03667,Binance
76460.16,0.08997,Binance
76460.25,0.03536,Binance
76460.31,0.00013,Binance
76460.33,0.03667,Binance
76460.49,0.08998,Binance
76460.6,0.09098,Binance
76460.72,0.08997,Binance
76460.98,0.08998,Binance
76461.07,0.0001,Binance
76461.1,0.08998,Binance
76461.12,0.01299,Binance
76461.16,0.09097,Binance
76461.18,0.03536,Binance
76461.19,0.09097,Binance
76461.46,0.68498,Binance
76461.51,0.10047,Binance
76461.61,0.09897,Binance
76462.0,0.0262,Binance
76462.15,0.03928,Binance
76462.4,0.08998,Binance
76462.54,0.10098,Binance
76462.59,0.08997,Binance
76462.74,0.03536,Binance
76462.82,0.10098,Binance
76462.95,0.09897,Binance
76463.24,0.03536,Binance
76463.41,0.03436,Binance
76463.72,0.09098,Binance
76463.74,0.0262,Binance
76463.75,0.07398,Binance
76464.0,0.22616,Binance
76464.19,0.02642,Binance
76464.28,0.00023,Binance
76464.4,0.09897,Binance
76464.49,0.03248,Binance
76464.6,0.03667,Binance
76464.85,0.03667,Binance
76464.93,0.03536,Binance
76464.95,0.03536,Binance
76464.97,0.03667,Binance
76465.03,0.03536,Binance
76465.11,0.09298,Binance
76465.51,0.10097,Binance
76465.82,0.09897,Binance
76465.95,0.39302,Binance
76466.0,0.0262,Binance
76466.07,0.09897,Binance
76466.35,0.10098,Binance
76466.64,0.10494,Binance
76466.66,0.00012,Binance
76466.69,0.03308,Binance
76466.7,7e-05,Binance
76467.33,0.01487,Binance
76467.35,0.09998,Binance
76467.56,0.03536,Binance
76467.59,0.10098,Binance
76467.64,0.09997,Binance
76467.9,0.03928,Binance
76468.0,0.0262,Binance
76468.02,0.09998,Binance
76468.29,0.10098,Binance
76468.51,0.29994,Binance
76468.76,0.01295,Binance
76468.82,0.0004,Binance
76469.0,0.00157,Binance
76469.02,7e-05,Binance
76469.1,0.585,Binance
76469.46,0.25638,Binance
76469.94,0.09897,Binance
76470.0,0.0262,Binance
76470.15,0.00654,Binance
76470.18,0.09997,Binance
76470.58,0.00022,Binance
76470.94,0.03928,Binance
76471.01,0.34983,Binance
76471.13,0.0916,Binance
76472.0,0.1262,Binance
76472.63,0.01319,Binance
76473.01,0.03928,Binance
76473.99,0.00016,Binance
76474.0,0.02633,Binance
76474.32,7e-05,Binance
76474.35,0.00059,Binance
76474.67,0.00029,Binance
76474.72,0.00048,Binance
76474.96,7e-05,Binance
76475.11,0.09298,Binance
76475.45,0.00077,Binance
76476.0,0.0262,Binance
76476.18,0.03928,Binance
76476.23,0.00048,Binance
76476.4,0.013,Binance
76477.3,0.01306,Binance
76477.58,0.00023,Binance
76477.73,0.00048,Binance
76478.0,0.02735,Binance
76478.39,0.00131,Binance
76479.5,0.00062,Binance
76479.74,0.00048,Binance
76479.99,0.00012,Binance
76480.0,0.13117,Binance
76480.19,0.02642,Binance
76480.32,0.39302,Binance
76480.35,0.03653,Binance
76480.74,0.00048,Binance
76481.21,0.0001,Binance
76481.57,0.00066,Binance
76481.87,0.0001,Binance
76481.94,7e-05,Binance
76482.0,0.15385,Binance
76482.66,0.00041,Binance
76482.74,0.00048,Binance
76482.99,0.02615,Binance
76483.15,0.0001,Binance
76483.74,0.00048,Binance
76484.0,0.0262,Binance
76484.04,0.00081,Binance
76484.21,0.11297,Binance
76484.34,0.00013,Binance
76484.84,0.00021,Binance
76485.71,0.00023,Binance
76485.73,0.00013,Binance
76485.74,0.00048,Binance
76485.76,0.002,Binance
76486.0,0.02727,Binance
76486.4,0.0916,Binance
76486.75,0.00048,Binance
76487.05,0.09853,Binance
76487.32,0.00012,Binance
76487.33,1.3945,Binance
76487.76,0.00048,Binance
76487.85,0.00418,Binance
76487.96,0.11297,Binance
76488.0,0.02677,Binance
76488.43,0.00042,Binance
76488.68,0.02255,Binance
76489.25,0.03988,Binance
76489.5,0.0001,Binance
76489.56,7e-05,Binance
76489.76,0.00048,Binance
76490.0,0.55136,Binance
76490.54,0.11297,Binance
76490.76,0.00048,Binance
76490.87,0.03928,Binance
76491.37,0.0001,Binance
76491.49,0.0018,Binance
76491.89,0.40023,Binance
76492.0,2.0262,Binance
76492.01,0.00062,Binance
76492.42,0.02,Binance
76492.51,0.00048,Binance
76492.89,0.11297,Binance
76493.02,0.00014,Binance
76493.38,0.0069,Binance
76493.39,0.00048,Binance
76493.46,0.00025,Binance
76493.82,0.0001,Binance
76493.97,0.05998,Binance
76494.0,0.21052,Binance
76494.23,1.5,Binance
76494.29,1.53403,Binance
76494.71,0.00048,Binance
76495.09,0.00023,Binance
76495.3,0.00258,Binance
76495.39,0.11297,Binance
76495.62,0.02642,Binance
76495.71,0.00021,Binance
76495.75,0.00132,Binance
76496.0,0.04248,Binance
76496.01,0.12864,Binance
76496.02,0.00048,Binance
76496.17,0.03,Binance
76496.19,0.0001,Binance
76496.28,0.00063,Binance
76496.35,0.00052,Binance
76496.39,0.00392,Binance
76496.59,0.00011,Binance
76496.79,0.001,Binance
76497.18,7e-05,Binance
76497.2,2.28945,Binance
76497.29,0.01,Binance
76497.54,0.00012,Binance
76497.73,0.002,Binance
76497.77,0.00012,Binance
76497.78,0.00048,Binance
76497.91,7e-05,Binance
76498.0,0.0262,Binance
76498.5,7e-05,Binance
76498.73,0.00131,Binance
76498.74,0.00011,Binance
76498.86,0.00048,Binance
76499.46,0.00014,Binance
76499.6,0.00098,Binance
76499.7,0.00011,Binance
76499.72,0.00014,Binance
76499.79,0.0916,Binance
76499.8,0.39208,Binance
76499.82,0.00018,Binance
76499.86,0.00078,Binance
76499.87,0.0001,Binance
76499.93,0.00048,Binance
76499.99,0.00261,Binance
76500.0,4.686,Binance
76500.01,0.00028,Binance
76500.11,1.32342,Binance
76500.14,0.11297,Binance
76500.29,0.11397,Binance
76500.38,0.06535,Binance
76500.41,0.00015,Binance
76500.52,0.01,Binance
76500.69,0.0066,Binance
76500.75,0.00053,Binance
76500.99,0.00048,Binance
76501.0,0.00021,Binance
